,fea_customer_id
189,19745583
190,13292598
191,19997526
192,18394779
193,18645466
194,20386587
195,17060992
196,19555816
197,19651709
199,16134055
200,20309804
201,5224109
202,20360298
203,18537435
204,18928541
205,19770333
206,20414450
207,18966574
208,15366486
209,19981128
210,18419273
211,19830947
212,19338400
213,10595406
214,20193729
215,18254443
216,15988750
217,11218713
218,19498091
219,18536543
220,16582213
221,15483825
222,18281263
223,19846792
224,19645103
225,15932400
226,14807292
227,20254023
228,17432308
229,20395742
230,9105608
231,17809270
232,18490660
233,10326042
234,20508356
235,13838652
236,15084781
237,8320468
238,11721836
239,15111976
240,19593967
241,2134548
242,16129238
243,16644144
244,10064006
245,13501295
246,20988347
247,20807281
248,10079531
249,14001487
250,7376475
251,10966535
252,8353589
253,19337957
254,20070927
255,15788587
256,14749149
257,17481135
258,15863508
259,20362030
260,17635132
261,8417982
262,15824730
263,9758336
264,20534659
265,11151354
266,17791876
267,7036467
268,19728533
269,16985142
270,12592782
271,19663749
272,11278503
273,15906022
274,14101985
275,19872025
276,12144133
277,16602575
278,1596030
279,13015669
280,20245605
281,12855515
282,20291459
283,20242499
284,10671979
285,17389534
286,20468580
287,15889337
288,20447063
289,20464744
290,10729059
291,20268665
292,18879975
293,8345178
294,19309807
295,7524431
296,5900427
297,18929680
298,20282209
299,19252305
300,20329400
301,12431664
302,15063215
303,15877547
304,18409728
305,20337183
306,19948666
307,17607179
308,8042943
309,11273959
310,19720719
311,19450193
312,12807852
313,17810702
314,19619387
315,15510609
316,20306823
317,19814058
318,20568225
319,19776872
320,20204779
321,18479110
322,20307204
323,17858980
324,20098099
325,20316506
326,12799373
327,16429654
328,14300651
329,20597235
330,20029629
331,20057429
332,20752755
333,11291636
334,20202186
335,16418559
336,17374075
337,19421121
338,6949309
339,19833385
340,15941925
341,13198817
342,19404758
343,19898766
344,20444225
345,8762955
346,19383143
347,20303273
348,18066006
349,6148358
350,13367089
351,17805583
352,19630362
353,19234003
354,13122139
355,19040374
356,15853658
357,20681974
358,18632627
359,11929238
360,2007141
361,17448235
362,11561916
363,16931330
364,15552902
365,13689299
367,7922902
368,8573148
369,20152512
370,8765702
371,18631620
372,20552392
373,20342745
374,15975663
375,6190363
376,14791850
377,17289619
378,20336646
379,527934
380,20153534
381,19050369
382,20344224
383,15173711
384,18021276
385,15472463
386,19500749
387,10153921
388,20439103
389,15801901
390,20248251
391,18501540
392,20325379
393,20314393
394,17489449
395,12133896
396,19897399
397,17507109
398,17003489
399,15698901
400,19710194
401,20099861
402,7614911
403,13231763
404,20293146
406,19241852
407,16585268
408,9787258
409,9832850
410,19257883
411,17658487
412,13010153
413,20327872
414,19664879
415,18587290
416,10491238
417,18634643
418,16412260
419,19414996
420,20098191
421,19269264
422,19537323
423,20131128
424,14986993
425,17227913
426,630103
427,20527807
428,14238246
429,7749454
430,15509404
431,19504478
432,5526505
433,19786378
434,19288219
435,16171876
436,17985146
437,18806286
438,15347338
439,19526619
440,19879982
441,19370739
442,19543903
443,16981957
444,20145817
445,18063673
446,13651290
447,19219105
448,19204741
449,16333503
450,20597860
451,20588584
452,18866485
453,19933416
454,18400276
455,19020728
456,20345611
457,18571353
458,20607841
459,16962466
460,14725402
461,15326448
462,15688913
463,19231672
464,16558042
466,15910709
467,19808079
468,15496917
469,17166501
470,13568718
471,20343854
473,18533905
475,19905850
476,19159791
477,19185479
478,16329348
479,7668801
480,11737553
481,14762225
482,12746784
483,17620026
484,13559727
485,16998431
486,19648648
487,20302512
488,20447075
489,19735334
490,18669826
491,18198187
492,18078621
493,19891691
494,14797369
495,15300185
496,18101078
497,12268532
498,19300027
499,19678355
500,17938222
501,19927704
502,17067408
504,20160497
505,14568970
506,16857470
507,16188658
508,19926605
509,20397595
510,20750685
512,19705398
513,12474540
514,19267782
515,18596601
516,18921165
517,20332194
518,17607977
519,17592663
520,16719817
521,11411237
522,17899746
523,20291195
524,19711374
525,20044206
527,11814446
528,20503269
529,19106440
530,5394588
531,20115178
532,1527988
533,20624285
534,11298886
535,20605503
536,20559139
537,19213841
538,19379161
540,20778101
541,20708486
542,19919901
543,19821326
544,15324230
545,20706253
546,16661172
547,20384828
548,20286113
549,20725315
550,15631887
551,15018199
552,18318517
553,6496305
554,20334190
555,20303484
556,10164667
557,12142971
558,20712800
559,19858204
560,10773601
561,10109389
562,20703813
563,20073167
564,19564688
565,20295572
566,20094173
567,20641318
568,14142443
569,20398720
570,19510131
571,10849616
572,19439887
573,15946228
575,19284648
576,18268535
577,18934918
578,19364541
580,14374645
582,19925145
583,17190482
584,19096761
586,20182539
587,15105331
588,19690678
589,2056062
590,7589732
591,20553982
592,17047101
593,17775948
594,19513357
595,19737893
596,18481684
597,17789552
598,19893066
599,16962388
600,18817043
601,14351415
602,15210665
603,20499911
604,10138425
605,9763853
606,17592656
607,7085257
608,20276485
609,9727391
610,17058636
611,17118556
612,19458762
613,12732489
614,14922191
615,16530829
616,19732786
617,16916716
618,14461830
619,10742177
620,17879017
621,17715690
622,20118067
623,20423561
624,12780041
625,20251354
626,20443661
